,Categoria,Feature,Etiqueta,Filtro /Ubicacion,Formato en Filtro,Dato en tarjeta Premium,Dato en tarjeta Destacada,Dato en Landing,Observaciones
,Casas,Precio Oportunidad,[precio oportunidad],Lateral,slider,SI,,,filtro rango
,Habilitación & Servicios,Agua & Sanitarios,Perforación de pozos,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Agua & Sanitarios,Captación de agua lluvia,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Agua & Sanitarios,Alcantarillado Autónomo,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Agua & Sanitarios,Baños Secos,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Agua & Sanitarios,Reciclaje y Compostaje,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Agua & Sanitarios,Sistemas de Riego,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Contratistas,Construcción de Accesos y Caminos,Lateral,definir,SI,,,
,Habilitación & Servicios,Contratistas,Mantenimiento de Vías Rurales,Lateral,definir,SI,,,
,Habilitación & Servicios,Contratistas,Invernadores y Huertos,Lateral,definir,SI,,,
,Habilitación & Servicios,Contratistas,Cercos y Portones,Lateral,definir,SI,SI,,
,Habilitación & Servicios,Energia,Paneles Solares,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Energia,Generadores Eléctricos,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Energia,Energía Eólica,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Calefacción,Estufas a Leña o Pellet,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Calefacción,Calefacción Solar,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Calefacción,Aislamiento Térmico,Lateral,checklist uno o varios,SI,,,
,Habilitación & Servicios,Pisos,Pisos Deck,Lateral,checklist uno o varios,SI,SI,,
,Habilitación & Servicios,Pisos,Pisos de Madera,Lateral,checklist uno o varios,SI,SI,,
,Habilitación & Servicios,Pisos,Pisos Vinilicos,Lateral,checklist uno o varios,SI,SI,,
,Habilitación & Servicios,Pisos,Alfombras,Lateral,checklist uno o varios,SI,SI,,
,Habilitación & Servicios,Revestimientos Interior,Madera,Lateral,,SI,SI,,
,Habilitación & Servicios,Revestimientos Exterior,Madera,Lateral,,SI,SI,,
,Habilitación & Servicios,Revestimientos Exterior,Metal,Lateral,,SI,SI,,
,Habilitación & Servicios,Revestimientos Exterior,Fibra Mineral,Lateral,,SI,SI,,
,Habilitación & Servicios,Ventanas,Termopanel,Lateral,,SI,,,
,Habilitación & Servicios,Ventanas,Marco de PVC,Lateral,,SI,,,
,Habilitación & Servicios,Ventanas,Marco de Aluminio,Lateral,,SI,,,
,Habilitación & Servicios,Ventanas,Marco de Madera,Lateral,,SI,,,
,Habilitación & Servicios,Cortasoles,Madera,Lateral,,SI,SI,,
,Habilitación & Servicios,Cortasoles,Accionables,Lateral,,SI,SI,,
,Habilitación & Servicios,Cortasoles,Folding / Sliding Shutter,Lateral,,SI,SI,,
,Habilitación & Servicios,Fachadas,Paneles Aislantes,Lateral,,SI,SI,,
,Habilitación & Servicios,Fachadas,Fachadas de Madera,Lateral,,SI,SI,,
,Habilitación & Servicios,Seguridad & Comunicación,Instalación Antenas y Repetidores,Lateral,,SI,,,
,Habilitación & Servicios,Seguridad & Comunicación,Internet Satelital,Lateral,,SI,,,
,Habilitación & Servicios,Seguridad & Comunicación,Camaras y Vigilancia Remota,Lateral,,SI,,,
,Habilitación & Servicios,Seguridad & Comunicación,Domótica,Lateral,,SI,,,
,Habilitación & Servicios,Seguridad & Comunicación,Sistemas de Seguridad,Lateral,,SI,,,
,Habilitación & Servicios,Nombre de la Empresa,[nombre empresa],no,,SI,SI,,
,Habilitación & Servicios,Ubicación,[ubicacion matriz| puede ser mas de una ],no,,SI,,,
,Habilitación & Servicios,Teléfono ,[teléfono],no,,SI,SI,,
,Habilitación & Servicios,Correo Electronico,[email],no,,SI,SI,,
,Habilitación & Servicios,Cobertura geográfica para entregas,[region|una o varias| todo chile],Lateral,,SI,SI,,
,Decoración y Mejoras,Control Solar,Cortinas y Persianas,Lateral,,SI,,,
,Decoración y Mejoras,Control Solar,Toldos,Lateral,,SI,,,
,Decoración y Mejoras,Control Solar,Pérgolas y quinchos,Lateral,,SI,,,
,Decoración y Mejoras,Muebles Modulares / Equipamiento,,Lateral,,SI,,,
,Decoración y Mejoras,Nombre de la Empresa,[nombre empresa],no,,SI,,,
,Decoración y Mejoras,Ubicación,[ubicacion matriz| puede ser mas de una ],no,,SI,,,
,Decoración y Mejoras,Teléfono ,[teléfono],no,,SI,,,
,Decoración y Mejoras,Correo Electronico,[email],no,,SI,,,
,Decoración y Mejoras,Cobertura geográfica para entregas,[region|una o varias| todo chile],Lateral,,SI,,,
